Name,Lat,Long,Confirmed,Deaths,Mortality,,
Afghanistan,33.93911,67.709953,39145,1995,5,Afghanistan,"1,995"
Albania,41.153332,20.168331,12787,1028,3,Albania,"1,028"
Algeria,28.033886,1.659626,50400,2623,5,Algeria,"2,623"
Andorra,42.546245,1.601554,1753,79,5,Andorra,79
Angola,-11.202692,17.873887,4363,372,5,Angola,372
Antigua and Barbuda,17.060816,-61.796428,97,5,5,Antigua and Barbuda,5
Argentina,-38.416097,-63.616672,664799,41041,3,Argentina,"41,041"
Armenia,40.069099,45.038189,47877,2529,3,Armenia,"2,529"
Australia,-25.274398,133.775136,26980,908,5,Australia,908
Austria,47.516231,14.550072,39984,4648,3,Austria,"4,648"
Azerbaijan,40.143105,47.576927,39524,2007,3,Azerbaijan,"2,007"
Bahamas,25.03428,-77.39628,3618,164,3,Bahamas,164
Bahrain,25.930414,50.637772,67014,348,3,Bahrain,348
Bangladesh,23.684994,90.356331,353844,7129,3,Bangladesh,"7,129"
Barbados,13.193887,-59.543198,189,7,5,Barbados,7
Belarus,53.709807,27.953389,76357,1282,3,Belarus,"1,282"
Belgium,50.503887,4.469936,106887,18054,7,Belgium,"18,054"
Belize,17.189877,-88.49765,1706,197,3,Belize,197
Benin,9.30769,2.315834,2325,44,3,Benin,44
Bhutan,27.514162,90.433601,261,0,3,Bhutan,
Bolivia,-16.290154,-63.588653,131990,9024,5,Bolivia,"9,024"
Bosnia and Herzegovina,43.915886,17.679076,26081,3457,5,Bosnia–Herzegovina,"3,457"
Botswana,-22.328474,24.684866,2567,38,3,Botswana,38
Brazil,-14.235004,-51.92528,4591364,181835,5,Brazil,"181,835"
Brunei,4.535277,114.727669,145,3,3,Brunei,3
Bulgaria,42.733883,25.48583,19283,5838,5,Bulgaria,"5,838"
Burkina Faso,12.238333,-1.561593,1929,71,3,Burkina Faso,71
Burundi,-3.373056,29.918886,476,1,3,Burundi,1
Cambodia,12.565679,104.990963,275,4634,3,Cambodia,4634
Cameroon,7.369722,12.354722,20690,443,3,Cameroon,443
Canada,56.130366,-106.346771,149939,13621,5,Canada,"13,621"
Central African Republic,6.611111,20.939444,4802,63,3,Central African Republic,63
Chad,15.454166,18.732207,1164,102,7,Chad,102
Chile,-35.675147,-71.542969,449903,4634,3,China,4634
China,35.86166,104.195397,85314,15949,5,Chile,"15,949"
Colombia,4.570868,-74.297333,784268,39195,5,Colombia,"39,195"
Comoros,-11.875001,43.872219,470,7,3,Comoros,7
Costa Rica,9.748917,-83.753428,68059,1936,3,Costa Rica,"1,936"
Croatia,45.1,15.2,15340,2778,3,Croatia,"2,778"
Cuba,21.521757,-77.781167,5270,137,3,Cuba,137
Cyprus,35.126413,33.429859,1654,82,3,Cyprus,82
Czech Republic,49.817492,15.472962,55464,9743,3,Czech Republic,"9,743"
Denmark,56.26392,9.501785,24822,961,3,Denmark,961
Djibouti,11.825138,42.590275,5407,61,3,Djibouti,61
Dominica,15.414999,-61.370976,24,0,3,Dominica,
Dominican Republic,18.735693,-70.162651,109737,2367,3,Dominican Republic,"2,367"
Ecuador,-1.831239,-78.183406,129892,13896,7,Ecuador,"13,896"
Egypt,26.820553,30.802498,102375,6943,5,Egypt,"6,943"
El Salvador,13.794185,-88.89653,27954,1212,3,El Salvador,"1,212"
Equatorial Guinea,1.650801,10.267895,5018,85,3,Equatorial Guinea,85
Eritrea,15.179384,39.782334,364,0,3,Eritrea,
Estonia,58.595272,25.013607,3033,157,3,Estonia,157
Ethiopia,9.145,40.489673,71083,1813,3,Ethiopia,"1,813"
Fiji,-16.578193,179.414413,32,2,5,Fiji,2
Finland,61.92411,25.748151,9288,466,5,Finland,466
France,46.227638,2.213749,508456,57924,5,France,"57,924"
Gabon,-0.803689,11.609444,8716,63,3,Gabon,63
Gambia,13.443182,-15.310139,3542,123,5,Gambia,123
Georgia,42.315407,43.356892,4140,1883,3,Georgia,"1,883"
Germany,51.165691,10.451526,279025,22997,5,Germany,"22,997"
Ghana,7.946527,-1.023194,46153,327,3,Ghana,327
Greece,39.074208,21.824312,16286,3785,3,Greece,"3,785"
Grenada,12.262776,-61.604171,24,0,3,Grenada,0
Guatemala,15.783471,-90.230759,87442,4476,5,Guatemala,"4,476"
Guinea,9.945587,-9.696645,10434,80,3,Guinea,80
Guinea-Bissau,11.803749,-15.180413,2324,44,3,Guinea-Bissau,44
Guyana,4.860416,-58.93018,2535,156,3,Guyana,156
Haiti,18.971187,-72.285215,8646,234,3,Haiti,234
Honduras,15.199999,-86.241905,72675,2989,5,Honduras,"2,989"
Hong Kong,22.396428,114.109497,5049,122,3,Hong Kong,122
Hungary,47.162494,19.503304,20450,7237,5,Hungary,"7,237"
Iceland,64.963051,-19.020835,2476,28,3,Iceland,28
India,20.593684,78.96288,5646010,143709,3,India,"143,709"
Indonesia,-0.789275,113.921327,257388,19111,5,Indonesia,"19,111"
Iran,32.427908,53.688046,432798,52670,5,Iran,"52,670"
