Name,Confirmed,Deaths,Mortality ,Lat,Long
Alaska,7004,45,2,63.588753,-154.493062
Utah,65921,444,2,39.32098,-111.093731
Wyoming,5169,50,2,43.075968,-107.290284
South Dakota,19634,202,2,43.969515,-99.901813
Hawaii,11689,122,2,19.898682,-155.665857
North Dakota,18981,203,2,47.551493,-101.002012
Nebraska,42278,462,2,41.492537,-99.901813
Kansas,54846,620,2,39.011902,-98.484246
Idaho,38743,454,2,44.068202,-114.742041
Wisconsin,105932,1259,2,43.78444,-88.787868
Oklahoma,80161,970,2,35.007752,-97.092877
Tennessee,186798,2277,2,35.517491,-86.580447
Puerto Rico,42660,617,2,18.220833,-66.590149
Montana,10912,165,2,46.879682,-110.362566
Iowa,82871,1298,2,41.878003,-93.097702
Arkansas,77963,1229,2,35.20105,-91.831833
Missouri,118205,1938,2,37.964253,-91.831833
Alabama,147153,2488,2,32.318231,-86.902298
North Carolina,196500,3316,2,35.759573,-79.0193
Oregon,31503,538,2,43.804133,-120.554201
Kentucky,63515,1124,2,37.839333,-84.270018
California,796436,15291,2,36.778261,-119.417932
Florida,690499,13618,2,27.664827,-81.515754
Nevada,76807,1556,3,38.80261,-116.419389
Texas,742913,15372,3,31.968599,-99.901813
Virginia,142459,3087,3,37.431573,-78.656894
Georgia,310161,6769,3,32.157435,-82.907123
Minnesota,92100,2037,3,46.729553,-94.6859
West Virginia,14515,322,3,38.597626,-80.454903
South Carolina,141686,3262,3,33.836081,-81.163725
Washington,83702,2081,3,47.751074,-120.740139
Arizona,215284,5525,3,34.048928,-111.093731
Maine,5170,140,3,45.253783,-69.445469
Mississippi,94573,2870,3,32.354668,-89.398528
Colorado,66649,2030,3,39.550051,-105.782067
New Mexico,27987,857,3,34.97273,-105.032363
Illinois,281303,8744,3,40.633125,-89.398528
Indiana,113337,3530,3,40.551217,-85.602364
Delaware,19830,629,3,38.910832,-75.52767
Ohio,146753,4687,3,40.417287,-82.907123
Maryland,121297,3902,3,39.045755,-76.641271
Louisiana,162645,5407,3,31.244823,-92.145024
Vermont,1722,58,3,44.558803,-72.577841
District of Columbia,15050,621,4,38.905985,-77.033418
Rhode Island,24177,1102,4,41.580095,-71.477429
Pennsylvania,157336,8038,4,41.203322,-77.194525
Michigan,131259,7013,4,44.314844,-85.602364
New Hampshire,8007,438,4,43.193852,-71.572395
Massachusetts,128512,9347,7,42.407211,-71.382437
New York,451892,33090,7,43.299428,-74.217933
Connecticut,56315,4497,7,41.603221,-73.087749
New Jersey,200988,16082,7,40.058324,-74.405661
